用户ID,死因,最后一条微博发布时间,评论时间,时间差,评论者姓名,评论内容,Tree_Hole,Whaling_Wall,Not_Related
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 19:23:54,0.0,海底边牧,研究生考核已经越来越严格，反观研究生导师制度却一直没有丝毫改善,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:28:17,0.0,风会吹往它想去的地方,我好想安慰安慰你，可是我一直在哭，看不清键盘了,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 12:23:17,0.0,快乐摆烂中心W主任,看了文字就感觉好累啊，实在太累就休息吧，如果真的是最坏的结果，希望你到头来能做一只最快乐最自由最胖乎乎的小猫咪🐱,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 11:44:32,1.0,薛老板的闹钟,你在哪个猫咖 我这就带着小鱼干来了！！,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 18:52:46,0.0,Tearjerker-,从来没想过有一天吃啥啥香的我会把一日三餐当做任务，中午绷不住了哭着给妈妈打电话，挂完电话一个人去吃饭，在学校天桥上不知怎的还停下来朝下面看了看。晚上妈妈说给我寄了卤菜，还说下次给我寄爸爸做的麻辣藕。感觉心情又变好了。撑不下去的研究生们记得给真正爱你的人打电话。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:21:27,0.0,Frozen_Monster,我虽然很想说劝人大度天打雷劈，但是如果真的绝望了和周围熟悉的人散散步，聊聊天，我也差点延毕，也是一个985的fw，但还是把这操蛋的生活干翻了，如果看到了叫我，我坐飞机过去找你喝酒啊,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 14:16:40,1.0,江河公园,就，普通一点，蠢一点，丑一点，穷一点，更关注自己一点，更爱自己一点，更相信自己一点，更快乐一点。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 08:02:40,1.0,笑笑笑笑笑得了,我妈曾经给我说，读研毕不了业的话咱就不要这学位证了。社会上没硕士博士的人多了去了，也没见得大家过得有多不幸福。人生还很长，回头再看这几年就当体验体验研究生生活了,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 00:28:40,0.0,expecto_patronum_hyk,连遗书都写得这么有趣又谦卑，你一定是去了一个很好的地方了，祝福你！！,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:09:17,0.0,来张七饼,感同身受，唇亡齿寒，长夜难明。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 11:33:41,1.0,Emdymion,同学你好，我是今年考上了硕士没去的应届毕业生，我爸爸告诉过我，不是一定要去读研究生，人呀不要活成别人心中的样子，这样子会好累。我相信你现在一定在某只猫妈咪的孕肚里了，希望我见到你的时候一定是一只小猫咪，R.I.P—到时我一定不会喂你喝酸奶，不喂你吃圣女果。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 14:39:21,1.0,Moreoverever,“这个人很懒，但什么都写了。”,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 14:32:38,1.0,SSober7,所有的自杀都是无证据的他杀，希望你们懂,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:40:26,0.0,万事顺遂的Rainbow,这一个个鲜活生命的失去还是撼动不了这畸形的培养体系和考评体系吗？国家什么时候能关注一下，真正为学生考虑一下。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:29:49,0.0,MY_NAME_IS_AIR,今早去上模电的时候听到警车的声音的时候还很诧异学校咋会让警车从校内借道虽然可能对你来说没什么比活着还难受的事了，但是还是想跟你说，人间烟火真的很美，累了可以停下脚步看一看,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 19:20:50,0.0,zrywwwbbb,我今年刚大工读研毕业  延毕了一个月 说实话有时候不是全都我们学生的问题 更多的是在这个研究生培养体制里 学生的培养压根得不到保证 然后外面那些居高位者每天还在觉得我们毕业要求水 严要求 那怎么不好好界定导师的培养能力呢？,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 23:38:30,0.0,不虾米匿名,年前进实验室，我真的心疼师兄，老师…一言难尽，他自己顶着压力没日没夜在实验室拼，我也只是帮他一点点，面对一堆时好时坏的机器，还要去求隔壁实验室借用机器，你说的我太深有体会，愿你下辈子做只猫咪，被你的铲屎官无尽疼爱,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:39:25,0.0,航崽小寶,其实看描述，这个导师很正常了，矛盾像是源于没有和老板建立有效沟通。每个学生和职场菜鸟最需要的能力是如何用最短的话把面临的技术问题描述清楚，建立周期性的followup会议。要知道，上层都是时间的吝啬者，要他们帮助需要让他们觉得有利可图或者举手之劳。,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 14:06:51,1.0,松风西里,你看到了吗？你的评论区成为了树洞啊。有多少想一走了之却又努力活着的人啊。大家年龄都相仿吧，二十五六岁的年纪，父母这个年纪都应该有我们了吧，他们那个年代是不是也有很多生活的压力，却又为了我们而活着。时代不一样压力也不一样，但活下去的理由可以一样，为了他们，也要再坚持一下好吗大家,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 12:10:18,0.0,you22334455,别啊，延毕一年不是事啊，大部分博士都延毕呢，想开点啊。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:08:00,0.0,扣扣新,我哭了！所以你就这么毫不留情的走了吗？突然想起我考研二战结束那时因为没考好前方处处没有希望的时候，我一个人离家出走跑到冰天雪地荒郊野外的地方，待了一上午，冻得没有知觉，电话疯狂的响，看到我姐短信说如果我出事了咱妈也不想活了突然就不忍心了。后来，挺过了那段发现事情并没有那么糟。,1,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:02:57,0.0,李岁岁在玩游戏,你看小猫咪,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 00:22:01,0.0,蒸鹅卵石的水泥工,中国没有一所大学是无辜的！！！我真的恨青春和精力都付之东流，把做学术最好的时候奉献给学生与老师之间的内卷明争暗斗。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 11:23:13,1.0,啊咩,再见，做猫咪记得多晒太阳。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 16:34:21,0.0,开心加油聪明宝贝儿,第n+1次研究生自杀事件,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2021-03-24 23:25:55,162.0,田野边上有颗树,时间过得真快，晚安,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 13:50:02,1.0,想去堆雪人,你好哇!陌生人，我刚刚也去美团捐了一块钱，跟你一起许愿啦! 我家里有两只猫咪，一只叫江小白一只叫月饼，虽然我没有让他们过得大富大贵，但是他们是小康家庭! 如果你有一天在路上走，看见我了，你就过来朝我喵喵叫，我就把你带回家!让你和他们做朋友! 我今年才二十四岁，我还可以陪伴你们一辈子。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 11:24:26,1.0,小尾巴blue,我一直不同意父母那么严厉不近人情的要求孩子非得考上重点大学，又是博士又得咋样的，转了一圈考个公务员，到处炫耀，孩子可能都人格分裂了，抑郁了，可父母却什么都不知道，还在为自己培养了个机器人而感到骄傲，你骄傲个啥，孩子都让你给逼疯了，还有那些不负责任的师长们，拿着老师的工资，真不配,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 09:46:54,1.0,阳光贩卖机-,其实我还在考研的路上，但是读完他的遗书不知怎的鼻子一酸，我不知道读研的生活，也不知道能不能考的上，但我知道未来的路一定艰难险阻更多，生活就是这样，它不会为谁开放捷径，只有自己咬牙坚持。希望那边没有痛苦，你能快乐,1,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 11:56:50,0.0,粘豆包的小胖丁,我也在同一座城市，36路直达的西山，我的经历跟你差不多，只是不用做实验，是纯做理论的。我有一段时间抑郁的不行了，但我周围的人太好了，我一直坚持，我现在熬出来了，基本不抑郁了，大不了不念了呗，很多事不受自己控制。已经学会和抑郁相处了,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 10:28:26,0.0,孙富贵贵儿,同学，安息吧🙏,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:34:15,0.0,一个不愿分享的人格,读研之后真的想死的次数比之前更多了，每次都靠一点点理智强行让自己逃避想死的念头。熬过去就好了，但熬过去太难了。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 10:18:00,1.0,一个充满理想的男孩,:今天早晨路过北门，栅栏后面突然跑出来一只可爱的大橘，在我面前俏皮的打滚，那一瞬间我好难受。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 13:07:58,1.0,lelJOY,我不完美，但我不该死。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 10:11:06,1.0,Milaluu,我研三因为小论文一直没发出去也抑郁了，直接导致后面心理崩溃，毕业论文都难以完成就主动申请延毕了....当时保研的时候也肯定想不到我的人生会和延毕扯上关系，那仿佛是我二十多年的人生中最丢脸的事情，但是当我回过头来看，也没什么大不了。我始终还是会找到工作，像个普通人一样地活下去。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:52:41,0.0,不长记性不好w,作为天坑专业的一员，本人硕士阶段开题、中期和毕业答辩完全是三个不同的方向，当初压力也挺大，但还是努力在两个月内完成了与研一、二方向完全不同论文写作和答辩。化学实验有时候就是很玄学，有一定运气的成分。今年大环境下，毕业生各方面压力都很大，很不理解有评论还在责怪当事人心理素质差的。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 12:06:48,1.0,大宝向禄,来我家吧！哥哥姐姐都很好，我养你！,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 17:42:33,1.0,鱼西青青,图片评论,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 11:11:24,1.0,不识T,md，这么认真努力的人，就这么熬死了，绑绑绳结都这么认真，文章里都是不甘，也没有太过抱怨，真希望走之前他可以和他最好的朋友说出这些话也许就不会走了，我哥也是这么走的,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 11:52:14,0.0,博士圈,有哪位朋友知道当事人目前怎么样了吗？（希望平安）,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 12:55:32,0.0,达里尼21号,我不知道在大工这三年多的某天，某地是否和你路过，但真的为你感到惋惜，也许真的坚持不下去了，也许生活真的让你已经绝望吧。早上看到西部校区封楼，看着贴吧，微博，学校的各种群，说你“回来”或是真的走了，心里还是很酸楚。。。也许这就是命数吧,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:20:38,0.0,就到这里吧,走这一行都会受到来自环境各种各样的碾压，智商的、情商的、努力程度的、学术继承上的、还有那点运气上的，就是为了让你认识世界是什么，你是谁，你在哪，你在做什么。在这儿呆了硕博六年，一路各种坑逼人和事，得出的结论就是，学术，该放过自己放过自己。希望那边不会有痛苦，祝你圆满。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 14:34:10,1.0,战槌,图片评论,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 11:31:28,0.0,2022年Au也有狗了,我也曾想过...,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 09:45:51,1.0,米巴日记_,我以为自杀不是逃避也不是不幸，而是一种选择，是当下情绪氛围心理允许自己做出的决定，我尊重你的决定，但我很难过没能认识你，没能在你受伤的时候安慰你，拥抱你，这我很难过。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 11:39:19,1.0,双重否定表ok,我印象最深的是考研成绩出来那会，我爸说闺女啊，考不上咱不受这个罪了，我眼泪唰就下来了。父母不在乎你是否能成为研究生，研究生能否毕业，他们想让你好好活着而已。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-15 20:03:52,2.0,XXYYYGGGGGG,师兄，你看看吧，我们都在为你祈祷,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 16:25:11,0.0,沐mua辰,昨天填完大连理工的推免系统，我许的第一个愿望是希望遇到的老师都很好，但是自己也知道真的遇到一个和自己完全合拍的老师的概率很小。今天在微博搜着大工的消息，看到这一条微博突然很难过，我知道压死骆驼的永远不只最后一根稻草，希望你现在所处的地方无限温柔。,1,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 22:44:21,0.0,温水柚子茶,今天哭了一整天，为你也为我。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-14 14:03:00,1.0,小何超棒_,定了闹铃，还连着蓝牙，不知道你在听什么样的歌.,1,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 22:45:01,0.0,我将沉浸在化学的海洋中无法自拔,真的希望国内老师能够真正的指导学生，共同进步，共同解决难题。而不是只要实验结果，一切都靠学生自己，学生没做出来就是没能力。而导师甚至连学生课题的实验原理和步骤都不知道。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:28:18,0.0,定格11点52,之前看过一个说法：当自己想轻生的时候，想想爸妈见到你尸体时的绝望......,0,0,1
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 22:01:49,0.0,月夜不变身,研三要毕业的时候文章刚投出去，审稿人审了三轮最后主编还又打回来一次，非常不顺。脑电实验结果和设想一直相反，导师不断要求加被试，最后延毕了半年，实际上读了四年的研究生。毕业那年考中央某部门总成绩第二被刷，转而去考浙江省某厅公务员，二进一政审环节被刷，岗位特殊，当时已经考了五轮。,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 11:32:03,0.0,皓月吟风stl,建议去一下心理中心，应该会有用的,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 16:29:31,0.0,青柠味的橘子糖,你的文字真的好可爱，怎么就这么走了，不喜欢吃圣女果就不要吃了，下辈子一定是一只超级粘人的小猫咪,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 13:21:19,0.0,肥轩困了吗,看完心里有种说不上来的难过，希望下辈子的你和以后的我都能成为这样的人：         该有主见的时候能掷地有声地镇得住场，该沉默的时候也能心安理得地躲起来不吭声；能为在乎的人放下身段，但除他们之外，你可以自由到不看任何人的脸色行事；为了证明自己的价值而保持努力，但不再期待任何人的夸奖。,0,1,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-13 14:28:48,0.0,柯学十级学者,都是熬啊，我昨天还和别人说，之前本科的时候不理解为什么那么多研究生跳楼，现在上了研究生真的太能理解那种感受了,1,0,0
红烧土豆叶,学业压力/抑郁症/自杀,2020-10-13 02:00:00,2020-10-15 23:27:29,2.0,幽兰拿铁多加冰少放糖,大家都记得你。,1,0,0
