index,评论内容,Year_Month,Tree Hole
243.0,李专家，你知道吗，你是我的偶像，正直，勇敢！而此时，我和孩子可能会成为疫情之下饿死在北京家里的人，我也遇到了不作为，求助无门！那里好吗？是不是没有官官相护，没有草菅人命，没有恶势力当道？真希望能看到回复。祝福！若去了，一起喝酒哇⊙ω⊙,2020-03,1
1420.0,李医生，你一定是化作了人间的风，人间的雨，人间的阳光，一直在默默守护我们。,2022-12,0
1546.0,好久没来了 来打个卡 愿工作顺顺利利 家人健康 诸事大吉🙏🙏🙏,2021-04,0
981.0,国家终于开始整治老师校外有偿补课了，上了这么多年学，老师补课感觉就是应该的，就必须去补，不去补老师就给你穿小鞋，寒暑假休息日双休日，天天去补课，风雨无阻，以后应该不会了吧，但也有点遗憾啊，这个只管义务教育阶段，我基本上赶不上了，就让后人享受我们披荆斩棘的幸福吧,2021-07,1
139.0,晚安呀 李医生,2020-03,0
1016.0,早安,2021-10,1
310.0,英雄永垂不朽,2020-04,0
1257.0,还是和之前差不多，动不动就F，谁也出不去,2022-08,1
699.0,我觉得最可怕的地方是学校医院整天忙着赚钱,2020-09,1
1572.0,三年了，我们没有等来疫情的结束，但是等来了基本的放开，大家也开始过基本正常的生活，没有了扫码测温，没有了查验核酸，好像这三年没有发生过一样，感谢您当时的种种，希望您在那边一切都好，希望您的家人身体健康💚💚💚,2022-12,1
1235.0,李医生，这个社会还会好吗,2022-07,1
1110.0,李医生  小年快乐,2022-01,0
593.0,致敬,2020-09,0
1429.0,李医生，12号是行程码最后一天使用时间 ，13号0时用了三年的行程码就下线了。疫情结束了吗。明明是恢复到以前的模样，怎么依然有点伤感 不知道是因为疫情放开的不适应还是三年来时光辜负。,2022-12,0
764.0,今天是感恩节呢,2020-11,1
179.0,李医生啊，武汉快好了，谢谢你啊,2020-03,0
660.0,李医生，好啊！希望万事如愿以偿,2020-09,0
311.0,李医生，早！,2020-04,0
93.0,醒醒吧  大家都在等你呢,2020-02,0
498.0,晚安。,2020-07,1
1126.0,疫情反反复复 原来有疫情的日子早已两年 竟觉得还生活在2020年,2022-01,1
246.0,今天来看你来的有点晚，不过没有迟到。嘻嘻你大我十四岁，在我眼里就是一个大哥哥一样，这辈子不能叫你哥，如果可以来世咱们做兄弟吧，你做大哥。,2020-03,0
586.0,晚安,2020-09,1
239.0,李医生你还好吗？看着大家的留言，好难过。其实每个人都不容易。收音机里放着新裤子的歌，假如生活欺骗了你，如果生活把你抛弃，你不要伤心。孤独忧郁的日子总会过去。所以照顾好自己，力所能及去做一些有意义的事。,2020-03,1
812.0,正在备课中...想你了..李医生..,2020-12,1
1210.0,在这里可不可以认识位聊得来的好朋友哇,2022-05,1
1489.0,🕯️,2020-02,0
1287.0,李医生好这病我看是走也走不了了，今年第二次被封控了,2022-09,1
1399.0,白衣天使，博爱无边！致敬中国最美的医生！,2022-12,0
1430.0,李医生  国家也在保护我们三年以后要靠我们自己了 我叔叔最终也是没能如愿保住，熬到今年二月份去世了 疫情三年   我爸爸  叔叔   姨妈相继离世 和你许的愿望也没实现   我和唐凤鲤最终也分开了   人生的考试我好像一直不及格 工作也辞了   就是不知道自己什么时候能缓过来,2022-12,1
1461.0,唉！不开心 真羡慕那些本地人，不用为房租发愁！,2023-02,1
1010.0,老李 听见他去外地的消息心里五味杂成的吧 怎能说呢 祝你找到自己的幸福 祝你前程似锦,2021-09,1
1520.0,李医生晚上好，随着帝都的第二波疫情卷土重来，刚刚复工不到一个月的我又一次陷入了失业的困境，时隔十七年，我又一次尝到了外地人对帝都人的歧视，我们在外地人眼里也成了行走的病毒。💊🙅,2020-06,1
1560.0,李医生，中午好🙏🙏🙏,2022-06,0
1318.0,结束了,2022-12,1
1372.0,历史上的今天，要记住。,2022-12,1
769.0,亮哥，我也要走了。。。见面聊。,2020-11,1
467.0,李医生，今年，哎，太难了。,2020-06,1
1463.0,李医生，忽然又想起了你。这几年终于过去了。领养了一只猫，两天已经混熟了，想起来小时候陪自己长大的猫，我长大了它却老了走了。人生，好像就是这样。,2023-02,1
689.0,李先生，晚安，要做个好梦哦，坏人一定要得到报应好吗？,2020-09,0
797.0,新年快乐嘿嘿,2020-12,1
679.0,今天的表彰大会您应该也在的。,2020-09,0
889.0,李医生一年了！没事一切都在变好！医生牛年快乐,2021-02,0
1057.0,我说  只要你说 zlg你现在可以滚了 我立马消失 她超生气说你不走我走 晚上开车上高速到家给她打电话 给她道歉说我不对不该用哪种语气给你说过 她也说她最近情绪不好 可是什么都好好的 一切又给正常一样 可是她心里到底把我放在什么位置 我不明白 朋友的时候抱着我睡觉偷偷亲她 走在路上会拉着我胳膊,2021-11,1
303.0,致敬，感谢您,2020-04,0
1092.0,有时候，伤心或者生气的时候就会来这看看。心情会慢慢平静下来，不会再被外界因素影响。,2021-12,1
846.0,希望明天能早睡，希望吧,2021-01,1
637.0,晚安，李医生,2020-09,0
540.0,每一次看到有关于李医生你的信息  都会掉眼泪,2020-08,0
589.0,致敬,2020-09,0
380.0,五年前第一次去武汉，觉得武汉真美啊，看了还想再去看的武大的樱花，走了还想走的长江大桥，吃了还想再吃的热干面。今天清明了，你在那儿可还好？,2020-04,1
1456.0,过去的三年都是一场梦吧,2023-02,1
873.0,文亮你还好吗,2021-02,0
761.0,我还会有明天吗……,2020-11,1
431.0,李哥，最近特别迷茫，不知道该怎么继续人生,2020-05,1
500.0,你在那边平安,2020-07,0
1335.0,谢谢你,2022-12,0
1263.0,中秋快乐李医生,2022-09,0
92.0,心情复杂 快快快快点好起来！！！！,2020-02,1
645.0,平凡而伟大的人,2020-09,0
759.0,你好不好呀,2020-11,0
434.0,李医生，今天是母亲节！我昨天晚上病了，急性肠炎去了医院，今天全身没有力气！还发烧🤒打算明天再给我妈补过节日！对哦！也祝您妈妈母亲节快乐喔,2020-05,1
304.0,我们会记得。,2020-04,0
780.0,新年快乐！,2020-12,0
1535.0,生日快乐🎂,2020-10,0
1295.0,亮哥，国庆快乐,2022-10,0
1508.0,晚上好 🌇,2020-04,1
32.0,晚安，李医生,2020-02,0
1310.0,李医生，我明年会不会有自己的小宝宝呢,2022-11,1
791.0,晚上好李医生,2020-12,0
381.0,李医生，我恋爱了！哈哈哈哈哈，我好开心呀！知道吗？在疫情期间，他是一名志愿者！我好幸运呀！,2020-04,1
350.0,李医生 你又上热搜了 可却不是我想看到的,2020-04,0
1389.0,李医生，今天出台了具有里程碑的意义的通知，一切向好,2022-12,1
692.0,李医生  你是我唯一的特别关注   今天我复合了  许个愿    好的都在路上   秋凉了  你照顾好自己。,2020-09,1
802.0,工行上岸啦，给你报个喜,2020-12,1
750.0,李医生 我喜欢了一个男孩 他胖胖的 180 可是我不敢和他在一起诶 我觉得我不配,2020-10,1
105.0,我希望您能再发一条微博报个平安,2020-02,0
658.0,致敬！！！,2020-09,0
1276.0,李医生 明天考研预报名 请保佑我上岸,2022-09,1
1345.0,结束了 安息,2022-12,0
1499.0,今天下雨了，李医生晚安💤,2020-03,0
83.0,愿天堂没有痛苦,2020-02,0
1078.0,李医生 我好贪心啊 可是我好难过。,2021-12,1
460.0,哎，这两天好压抑,2020-06,1
1150.0,李医生，今年清明家里宝宝就能来喊爸爸了吧,2022-02,1
621.0,老哥晚安,2020-09,0
535.0,大家都要平安健康呀，晚安。,2020-08,1
822.0,上周出了一级建造师成绩96分，刚好及格，2020年最后几天了，愿一切安好~,2020-12,1
200.0,这么惨痛的代价，以为会改变些什么，然而,2020-03,1
1330.0,三年了啊,2022-12,1
118.0,我会一直关注您的，年轻的一代一定不会忘记您！,2020-02,0
1065.0,疫情2年了,2021-12,1
883.0,李医生愿您快乐安好,2021-02,0
228.0,李医生，你的训诫书被撤销了！！！！！接下来希望中心医院的院长和书记能正式公开的对你道歉，不应该是希望，而是要求！！！！要求他们必须道歉！！！！,2020-03,0
1203.0,讨厌今天,2022-05,1
1485.0,🙏🙏🙏🙏,2020-02,0
153.0,你活着 该多好,2020-03,0
1346.0,您一定也看到了,2022-12,0
747.0,李先生  中秋节记得吃美味的月饼啊，还有国庆节快乐啊,2020-10,0
383.0,李医生，中国新闻网的记者刚发表了一篇采访你父母和爱人的文章，看得我心疼，第二个孩子要出生了，付雪洁去处理一些事情，比如给你的电话卡销号，老人的头发白了，五岁的儿子沉默了……看哭了我！,2020-04,0
943.0,永远年轻，永远热烈盈眶,2021-05,1
427.0,李医生晚安 总觉得大学越上越没意思 出来工资低 考研又考不上,2020-05,1
1236.0,李医生，我真的觉得当医生好累啊,2022-07,1
1083.0,李医生，我今天下午就要住院了，祝我顺利,2021-12,1
117.0,这个世界亏欠你太多 一路走好！天堂不会负你,2020-02,0
992.0,李医生，为啥世人都觉得自己好累我好累，她好累，他也好累,2021-08,1
1438.0,李医生，新年快乐,2023-01,0
1026.0,李医生，我昨天喝太多酒了，耽误了很多事情，对不起爸妈,2021-10,1
913.0,晚上来的人，好的呀,2021-03,1
664.0,人间本无神，只是香火多了，于是有了神灵,2020-09,1
307.0,一路走好,2020-04,0
444.0,恭喜,2020-06,0
646.0,谢谢你，一路走好,2020-09,0
923.0,早安文亮,2021-04,0
638.0,早安李医生,2020-09,0
504.0,记住先变成更喜欢的自己,2020-07,1
501.0,李医生，一切安好,2020-07,0
162.0,家里水管坏了，嗡嗡嗡,2020-03,1
98.0,祝您下辈子要开心 请您一定要在那边幸福,2020-02,0
1130.0,李医生，两年了，我还是没活成自己喜欢的样子，而且好像还堕落了些。时间过得真快啊，你在那边还好吗?希望你好好的。,2022-01,1
147.0,李医生，睡吧。,2020-03,0
1185.0,他已经快一个月没理我了,2022-04,1
1133.0,新年快乐,2022-02,1
1176.0,李医生，我最近觉得我的未来好迷茫呀！感觉最近的心情非常非常的低落，什么也不想做，什么也没兴趣 唉……,2022-03,1
494.0,刷微博，看到老榕那边又有人在问，能不能用微波炉烤羊肉串。瞬间想起你了，过来问候一下。,2020-06,1
473.0,恭喜恭喜，母子平安！,2020-06,0
536.0,好难啊，但是一定要保持住初心！ 李医生，下午好,2020-08,1
345.0,太平本是烈士定，不见烈士享太平！致敬英雄，晚安！,2020-04,0
1467.0,永远热泪盈眶,2023-03,1
166.0,Hi，李医生，聊胜于无吧,2020-03,0
834.0,晚安,2021-01,1
286.0,谢谢您,2020-04,0
1174.0,李医生，好难啊，知识都学不会，感觉优秀的人好多，我又不算聪明的，每天只要停下来就会有zs的念头，好难过，你会保佑我的吧,2022-03,1
592.0,晚安哦,2020-09,1
1417.0,李医生，怀念动态清零，怀念封控，家里父亲有基础疾病，不敢赌,2022-12,1
972.0,李医生，请您护佑河南！,2021-07,0
1067.0,新年快乐,2021-12,1
838.0,新年快乐李医生,2021-01,0
1527.0,李医生，明天去考场啦！有些紧张，我早点休息了，晚安哦😴,2020-09,1
1165.0,哎 咋办呢 每天好像都有写不完的作业,2022-03,1
12.0,晚安,2020-02,1
396.0,hello，又来了，武汉重启了，一切都在慢慢变好，我坚信。,2020-04,1
721.0,早安哦,2020-10,1
982.0,李医生 在等几天 我的大学录取结果就出来了 希望十二年的寒窗苦读 能有个好结果,2021-07,1
1101.0,李医生晚安,2022-01,0
917.0,竭力开心又竭力让别人开心的样子  我就是在努力的生活啊  我有什么罪,2021-03,1
579.0,致敬,2020-09,0
1047.0,兰州疫情多久能结束啊，真的太折磨人了,2021-11,1
417.0,压力好大最近 好想没心没肺,2020-05,1
388.0,李医生，我失恋了。很喜欢很喜欢，但是我还是放手了。在美好的感情也输给了异地。多么讽刺呀。你还好吗？是不是再也不用经历人间的苦痛了，我相信你一定在那边很幸福很幸福很幸福。,2020-04,1
446.0,恭喜李医生,2020-06,0
749.0,害 保佑明天别眼肿 要不被别人笑话 要像什么都没有发生过 自信 阳光 积极,2020-10,1
493.0,李医生，前一阵子真的很难熬，最近总算守得云开见月明了，还是蛮开心的~,2020-06,1
1001.0,李医生中午好哇,2021-09,0
568.0,晚安,2020-09,1
622.0,向您致敬,2020-09,0
199.0,希望您家人，在没有您的日子里，平安,2020-03,0
941.0,晚安,2021-05,1
358.0,李医生早，做外贸的我，真的好难…,2020-04,1
1226.0,如果当时你所造的“谣”被更多人听到该多好，这一场在中国旷日持久的大灾难就可以避免了。,2022-06,0
169.0,李医生，来看看你,2020-03,0
206.0,李医生 今天拜耳把那个不按规定隔离还出去跑步 态度嚣张的女的开除了！,2020-03,1
985.0,中元节到了。,2021-08,1
89.0,李医生一定加油！！！不要走！！！,2020-02,0
390.0,李医生，今天下午我要给我们班家长演讲（当然是网上的），有点紧张，没什么，想你了来看看……,2020-04,1
755.0,早啊，看到你这条微博，心揪了一下，愿你安好，天凉了照顾好自己,2020-10,0
924.0,早,2021-04,1
717.0,李医生，我是一个八年制的临床医学生，我觉得好累，我感觉学医真的压力太大了，我不知道自己还能不能坚持得下去我在打这行字的时候，边打边流泪，我感觉我真的很努力了，但是还是有很多都学不好我真的能坚持过去吗,2020-09,1
974.0,李医生，来看看你。我们奥运会金牌第一啦！,2021-07,1
612.0,致敬,2020-09,0
944.0,这份活不好干，好累,2021-05,1
975.0,李医生，我两支疫苗都打好了,2021-07,1
1370.0,李医生，一切都要结束了,2022-12,0
138.0,下午好,2020-03,1
384.0,您听见了吗，警报鸣彻天地，十四亿人在向您致敬愿每一个被困在寒冬的英雄，都能在天堂幸福,2020-04,0
1073.0,希望你一切都好,2021-12,0
1017.0,国庆正常上下班,2021-10,1
1413.0,晚上好，李医生，希望您和这三年离开的人，在新的生命中熠熠生辉,2022-12,0
365.0,武汉解封万物复苏啦 可您却再也看不到了,2020-04,0
1171.0,亮哥 春暖花开了 好想知道嫂子给孩子取了什么名字！祝一切都好！,2022-03,0
1117.0,过来看看，李医生快过年了，提前祝你新年快乐,2022-01,0
890.0,李医生，元宵节快乐。感谢你做出的一切。,2021-02,0
168.0,哥，我也想吃鸡腿了。,2020-03,1
218.0,李医生，早上好！今天又是美好的一天！愿你在天堂一切安好！,2020-03,0
965.0,我真的没想到，当初死死追求我的人，会这么绝情，说不爱就不爱了，明明前几天还让我等他，还有一个月就见面了，一切都会变好,2021-06,1
215.0,李医生，我想当一个和您一样的医生，哪怕是和您一样的结果。,2020-03,0
1136.0,两周年了,2022-02,1
488.0,北京又爆发了，希望可以稳住！自从当了妈妈我就特别的胆小，从前那个天不怕地不怕的我也有了软肋！愿我们都无病无灾的度过这一生！,2020-06,1
1296.0,又来了，但永远看不到你更新了,2022-10,0
1331.0,平安夜快乐,2022-12,1
441.0,我去，你知道吗？玩农药真的需要好脾气，我去，好好的开局能赢的直接输掉了嗯，我该扔掉手机然后睡觉了，不过还是不舒服欸,2020-05,1
1490.0,一定要坚持✊一定要好起来。你是最真诚的医生👨⚕️祈祷你平安健康,2020-02,0
1181.0,好难过,2022-04,1
295.0,一路走好,2020-04,0
415.0,兄弟，早上好,2020-05,0
1484.0,一路走好🙏🙏🙏天堂没有病痛[蠟燭],2020-02,0
824.0,提前祝新年好啊，李医生。我们迟早都会在另外一个共同世界再见的，希望你开心,2020-12,0
619.0,致敬英雄,2020-09,0
727.0,节日快乐！,2020-10,1
841.0,他们都记得你,2021-01,0
1525.0,致敬英雄🙏,2020-09,0
644.0,晚安，人民英雄,2020-09,0
314.0,一路走好 英雄,2020-04,0
348.0,李先生，早安，我在熬中药，一会去爬山,2020-04,1
1477.0,出个小差呢。妈妈老了,2023-04,1
1102.0,新年快乐,2022-01,1
783.0,快一年啦,2020-12,1
1428.0,明天就是我在方舱帮忙检验的最后一天了，解封了，复检的管一天比一天多，可能复检不过来的时候核酸检测就停了吧,2022-12,1
163.0,在那里过的好吗？一定要好好的,2020-03,0
1048.0,李医生，希望做一个像你一样的人。,2021-11,0
1148.0,上天保佑我心想事成，渡过这至暗时刻！！！,2022-02,1
1475.0,早,2023-04,1
858.0,李医生 有个没能吃到草莓的男孩去你那边了 希望你们在那边都能吃到甜甜的草莓,2021-01,0
1351.0,谢谢您，李医生,2022-12,0
113.0,党和人民永远不会忘记你的，你是真正的英雄！,2020-02,0
581.0,晚安！,2020-09,1
1529.0,中国挺过来啦，你肯定看到啦对嘛🙏,2020-09,0
543.0,李医生，我会坚持着完成我的学业，接受最好的安排,2020-08,1
387.0,李医生，我的焦虑让我得了抑郁症，我觉得特别压抑特别难受，过来看看你，在那边还好吗,2020-04,0
1446.0,李医生，新年快乐，你在天堂那边还好吗？,2023-01,0
1079.0,今天的比赛结果很好,2021-12,1
333.0,清明了，来看看你,2020-04,0
109.0,半夜。五个小时过去，止不住的难过,2020-02,1
1158.0,早啊李医生,2022-03,0
320.0,人民英雄永垂不朽,2020-04,0
190.0,今天晴空万里，没有雾霾，只有蓝天白云！,2020-03,1
41.0,一路走好。,2020-02,0
216.0,在听吕方的流浪花，那边的世界，可遇得见，可一起对酒当歌。,2020-03,0
1034.0,晚安 李医生,2021-11,0
1492.0,谢谢您🙏🙏🙏,2020-02,0
1137.0,老哥，来看看你。,2022-02,0
1494.0,🙏 🙏 🙏 🙏 🙏 🙏,2020-02,0
1530.0,一路走好，再无病痛🙏🙏🙏,2020-09,0
1564.0,李医生你现在一定在平行世界读我们的评论吧，我们都还记得您，永远怀念您。但请求您庇佑我们，正在遭受疫情磨难的人，请您守护我们🙏🙏,2022-11,0
201.0,老铁，你们四个同事打牌吧，别往下看，不值得,2020-03,0
1449.0,你好李医生，刚刚微博提醒了那年今日，你是一个时代的惦记，保佑大家安好吧！好人,2023-01,0
1444.0,看着春晚，突然想起你来了，过来看看。你应该三岁了吧,2023-01,0
1421.0,李医生，孩子今天考研继续，一起加油！平安、健康、上岸！,2022-12,1
1009.0,颓废的生活，无聊的日子。躺尸的假期。娱乐至死的人生。好不值得？,2021-09,1
411.0,晚安，李医生,2020-05,0
1336.0,谢谢你,2022-12,0
242.0,文亮，这次为了抗击疫情，医生护士、警察、志愿者、各种工作人员都有牺牲，令人痛惜！为了记住英烈，牢记血的教训，我建议湖北省应在黄鹤楼公园专建“抗疫烈士灵园”，供人们祭奠和警省，我想我们的政府应该这样做，也应是全国人民的共同意愿！我们不应忘记先烈，更应时时警省，建设好人民安康的社会。,2020-03,0
765.0,众生皆苦，你还好吗，我还好,2020-11,0
1298.0,李哥 好难受 感觉自己好无能 但是我没有动摇过自己学医的梦想 加油 还有最后两百天了,2022-10,1
998.0,晚安，李医生,2021-09,0
1373.0,谢谢您，疫情战的先锋将军,2022-12,0
69.0,李医生，快辟谣啊,2020-02,0
39.0,快回来吧！,2020-02,0
936.0,李医生 之前总是想要快点恋爱 可是现在却觉得该来的总会来的 一切顺其自然 生活是自己的 每天都要努力呀 对啦分享给你我今晚吃的饭 白色的是奶油乌冬面 好吃,2021-04,1
830.0,新年快乐,2021-01,1
1288.0,李医生，现在防疫已经进入魔幻状态啦，生病不让就医，人命都不重要啦，那防疫是防什么？,2022-09,1
1400.0,三年了，疯狂了一些人，发财了一些人。你不该离开！,2022-12,1
100.0,我们最终一定会胜利，真希望你能看到,2020-02,0
393.0,最近事情太多了，各种网课还有专业课，还有加紧考研步伐，晚安，加油,2020-04,1
1344.0,三年了，来看看你,2022-12,0
920.0,之前因为某些原因和大姑大吵一架后，我以为自己可以一直记恨她，现在我只想让她健健康康，希望检查结果没事。,2021-03,1
369.0,给您讲个事情。我最好的朋友过世了，26岁。我就是想过来说说，今天她追悼会。我不需要有人安慰我，安慰没用。直面死亡太苦了，苦到连我都想放弃生活。李大夫晚安 我去睡一会儿,2020-04,1
684.0,他们去领奖了，他们去接受鲜花与掌声了,2020-09,1
224.0,刚才因为自己的提问老师修改了自己的书，好开心，原来我还是很厉害的呢,2020-03,1
1012.0,李医生，厦门疫情已经连续四天超过发源地莆田了…我们封城了，他们说：封一座城，保一个省，护一个国。南京这些地方疫情都控制下来了。厦门，莆田，漳州。还会远吗,2021-09,1
230.0,李医生，自从我爸爸走后，我就很少更新朋友圈，但是在你走的那天，我连续转了两篇文章。那天晚上我一直陪着你，不断刷新微博给你鼓励，但是刚做完手术身体虚弱，半夜熬不住睡了，醒来就得知你已经离开了。春暖花开了，希望你在那边好好照顾自己，也很想你和我爸爸认识，他真的是很好很好的人,2020-03,1
429.0,李医生 冬天早就过去啦 一切都好起来了,2020-05,0
210.0,李医生，我周末要去吃肯德基，我的烤翅可以分你一个啊，晚安啦,2020-03,1
711.0,考上特岗教师了，但还是遗憾，我还想考研来着,2020-09,1
1573.0,李医生早晨好[咖啡]🙏🙏🙏 平平安安 顺顺利利 一切安好 要好 向好 🙏🙏🙏,2023-01,0
1112.0,李医生 我真的好难受 我也没处说,2022-01,1
1230.0,封心锁爱了！,2022-07,1
857.0,李医生，我真的好想他。可是，也只能想想而已了。都说心诚则灵，可是，什么时候才有结果呢？,2021-01,1
188.0,南京今天天气很好，希望所有人都平安,2020-03,1
1515.0,🕯️,2020-04,0
1128.0,李先生，西安变成了新的武汉，他们让人背台词感谢zf，不然不给救济蔬菜，可是这本来是无条件发放的啊。,2022-01,1
1558.0,因为疫情考试又推迟了，李医生晚安💤,2022-04,1
235.0,看到那么多人围攻方方，真心痛，想起林语堂那句话：中国有一类人，本身就是最底层，权利每天都在被损害，却具有统治阶级意识，处处为统治阶级辩护，在动物世界里找这么弱智的东西都几乎不可能。,2020-03,1
577.0,感谢。,2020-09,0
1215.0,老李，今天是我好朋友的婚礼 因为众所周知的原因我们好就没有聚在一起了 本来五一他的婚礼我们朋友间借这个机会一起聚一聚 结果。     我的朋友新婚快乐,2022-05,1
789.0,大家加油,2020-12,1
1096.0,李医生您好,2022-01,0
934.0,李医生你好，我不说你也知道发生了什么。天还没亮，但我想起来跑步了,2021-04,1
605.0,致敬！,2020-09,0
534.0,倒计时6天就要结束了,2020-08,1
532.0,早安哦～美好的一天又开始啦！,2020-08,1
212.0,李医生，美国开始大规模筛查病毒了，你在天堂纵观全局就行了！,2020-03,1
1030.0,李医生，哈尔滨疫情啦，从开学到现在一直被关在学校里，师兄师姐结婚也没能去。,2021-10,1
1198.0,李医生 今天骑电动车被汽车撞了 我们都有问题 我当时不知道如何处理 没有报警处理 自己默默爬起来 收了他两百块就回家了 现在腿和屁股都肿了 脚脖也坏了 买药花了一百多 鞋子和衣服都脏了 好怕周末起不来不能上班啊 还要扣工资 自己一个女生在异地真的很无助啊,2022-04,1
1233.0,哈喽李医生～我居然结婚了,2022-07,1
394.0,李医生 我又来了～有点想他 可是不敢告诉他…因为知道会被拒绝,2020-04,1
407.0,李医生，你好,2020-05,0
72.0,我还是不愿相信...,2020-02,1
327.0,在等红灯，突然就想起了您,2020-04,0
70.0,李医生一路走好,2020-02,0
1225.0,这两天的天空都太美了 愿你安好李医生,2022-06,1
1255.0,亮哥，家门口的西瓜被偷了,2022-08,0
1368.0,李医生，十二月了，祝你安好啊,2022-12,0
443.0,节日快乐,2020-06,1
810.0,我觉得你是个可爱的医生,2020-12,0
1123.0,我喜欢的人还是不喜欢我，李医生，怎么办呢,2022-01,1
1167.0,李医生，早 青岛的疫情又严重了保佑大青岛平安,2022-03,1
840.0,晚安 李医生,2021-01,0
639.0,谢谢您我们的英雄,2020-09,0
150.0,李医生，您好！,2020-03,0
1164.0,赶紧解封我想回家,2022-03,1
1244.0,李医生 我发现最近我跟朋友们的关系都变得好奇怪 说话不可以直接说 一句话要斟酌好久 用最温柔的语气去说 可是我们是六年的好朋友 我现在连直接说话的勇气都没有了,2022-07,1
524.0,早,2020-08,1
723.0,生日快乐,2020-10,0
376.0,大前天拿到了老罗带货的助力湖北的秭归脐橙，昨天才拆开吃，真的很甜！今天晚上老罗又带货了1分钱的泡藕带，还有9.9的冰红茶，我都抢到了！你要是还在的话，应该也会抢吧！,2020-04,1
155.0,好想你,2020-03,0
1038.0,累了,2021-11,1
471.0,祝您的家人端午安康,2020-06,0
682.0,唉，考试真的好累啊，还要和人心斗,2020-09,1
1019.0,李医生 国庆快乐,2021-10,0
690.0,一直记得你那张戴着口罩的照片，最近在备考，等结束后再来看你，晚安,2020-09,0
221.0,李医生，今天阳光好好呀 ，外面特别暖和哦。我跟男友也分手一个月了。感觉时间过得好快呀,2020-03,1
81.0,走好我们的hero,2020-02,0
126.0,一路走好…但我真的希望你能出来辟谣打我的脸,2020-02,0
1107.0,李医生，我想回家,2022-01,1
1020.0,国庆快乐李医生,2021-10,0
331.0,李医生，向您致敬,2020-04,0
668.0,突然就泪目了，谢谢你李文亮医生❤️,2020-09,0
549.0,早安李医生 今天要去练科二了 好怕自己笨学不会 但是我一定会努力的,2020-08,1
887.0,李医生，祝您新年快乐,2021-02,0
832.0,晚上好呀,2021-01,1
1113.0,李医生 庆余年第二部开拍咯,2022-01,0
655.0,向您致敬，感谢,2020-09,0
194.0,李医生，今天好累，站着包饺子腿都酸了。,2020-03,1
231.0,李医生，继续汇报： 在某售票平台上搜索发现，伦敦16日直飞北京的6班飞机全部取消，仅有四趟中转航班，耗时最长的超过39小时。经济舱价格在1.65万元至3.45万元，商务舱价格高达4.7万。,2020-03,1
1139.0,新年快乐李医生,2022-02,0
1422.0,今日无意间刷到您的与妻书 泪崩 依然希望您的家人一切安好,2022-12,0
108.0,不认识你，但敬佩你，走好英雄,2020-02,0
